MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2007-2023
"Município de notificação";"Casos_confirmados"
"355180 SETE BARRAS";1
"355190 SEVERINIA";1
"355210 SOCORRO";6
"355220 SOROCABA";3579
"355240 SUMARE";335
"355250 SUZANO";209
"355260 TABAPUA";1
"355270 TABATINGA";1
"355280 TABOAO DA SERRA";281
"355290 TACIBA";1
"355330 TAMBAU";6
"355360 TAPIRATIBA";2
"355370 TAQUARITINGA";21
"355380 TAQUARITUBA";2
"355400 TATUI";267
"355410 TAUBATE";452
"355430 TEODORO SAMPAIO";6
"355450 TIETE";11
"355480 TREMEMBE";4
"355500 TUPA";83
"355510 TUPI PAULISTA";21
"355540 UBATUBA";78
"355560 UCHOA";1
"355600 URUPES";1
"355610 VALENTIM GENTIL";1
"355620 VALINHOS";168
"355630 VALPARAISO";10
"355640 VARGEM GRANDE DO SUL";26
"355645 VARGEM GRANDE PAULISTA";3
"355650 VARZEA PAULISTA";13
"355670 VINHEDO";99
"355680 VIRADOURO";2
"355700 VOTORANTIM";59
"355710 VOTUPORANGA";217
"355720 CHAVANTES";5
"355730 ESTIVA GERBI";1
"410030 AGUDOS DO SUL";1
"410050 ALTONIA";1
"410060 ALTO PARANA";6
"410080 ALVORADA DO SUL";3
"410090 AMAPORA";1
"410100 AMPERE";4
"410110 ANDIRA";4
"410140 APUCARANA";232
"410150 ARAPONGAS";108
"410160 ARAPOTI";5
"410180 ARAUCARIA";137
"410190 ASSAI";9
"410200 ASSIS CHATEAUBRIAND";18
"410210 ASTORGA";6
"410240 BANDEIRANTES";10
"410250 BARBOSA FERRAZ";1
"410260 BARRACAO";3
"410275 BELA VISTA DA CAROBA";1
"410290 BITURUNA";3
"410304 BOA VENTURA DE SAO ROQUE";1
"410305 BOA VISTA DA APARECIDA";2
"410330 BORRAZOPOLIS";4
"410345 CAFELANDIA";5
"410347 CAFEZAL DO SUL";1
"410360 CAMBARA";2
"410370 CAMBE";96
"410390 CAMPINA DA LAGOA";2
"410400 CAMPINA GRANDE DO SUL";516
"410420 CAMPO LARGO";295
"410430 CAMPO MOURAO";123
"410450 CAPANEMA";7
"410460 CAPITAO LEONIDAS MARQUES";12
"410470 CARLOPOLIS";10
"410480 CASCAVEL";1256
"410490 CASTRO";37
"410520 CERRO AZUL";1
"410530 CEU AZUL";1
"410540 CHOPINZINHO";49
"410550 CIANORTE";187
"410560 CIDADE GAUCHA";10
"410570 CLEVELANDIA";2
"410580 COLOMBO";4
"410590 COLORADO";41
"410620 CONTENDA";5
"410630 CORBELIA";16
"410640 CORNELIO PROCOPIO";277
"410650 CORONEL VIVIDA";17
"410670 CRUZEIRO DO SUL";1
"410680 CRUZ MACHADO";2
"410690 CURITIBA";10534
"410710 DIAMANTE DO NORTE";2
"410720 DOIS VIZINHOS";7
"410753 ENTRE RIOS DO OESTE";3
"410754 ESPIGAO ALTO DO IGUACU";1
"410760 FAXINAL";4
"410765 FAZENDA RIO GRANDE";12
"410785 FLOR DA SERRA DO SUL";2
"410790 FLORESTA";2
"410830 FOZ DO IGUACU";1210
"410840 FRANCISCO BELTRAO";333
"410860 GOIOERE";4
"410880 GUAIRA";11
"410890 GUAIRACA";2
"410930 GUARANIACU";20
"410940 GUARAPUAVA";280
"410960 GUARATUBA";1
"410970 IBAITI";25
"410980 IBIPORA";81
"411005 IGUATU";1
"411007 IMBAU";1
"411010 IMBITUVA";28
"411030 INAJA";1
"411050 IPIRANGA";8
"411060 IPORA";2
"411070 IRATI";56
"411090 ITAGUAJE";1
"411095 ITAIPULANDIA";8
"411120 ITAPEJARA D'OESTE";1
"411130 ITAUNA DO SUL";1
"411140 IVAI";1
"411150 IVAIPORA";295
"411155 IVATE";1
"411180 JACAREZINHO";34
"411190 JAGUAPITA";2
"411200 JAGUARIAIVA";18
"411210 JANDAIA DO SUL";18
"411240 JAPURA";1
"411270 JATAIZINHO";3
"411275 JESUITAS";2
"411280 JOAQUIM TAVORA";2
"411310 KALORE";7
"411320 LAPA";3
"411325 LARANJAL";2
"411330 LARANJEIRAS DO SUL";39
"411340 LEOPOLIS";1
"411350 LOANDA";72
"411360 LOBATO";1
"411370 LONDRINA";3407
"411390 MALLET";2
"411400 MAMBORE";7
"411420 MANDAGUARI";9
"411430 MANDIRITUBA";2
"411440 MANGUEIRINHA";19
"411460 MARECHAL CANDIDO RONDON";155
"411480 MARIALVA";18
"411490 MARILANDIA DO SUL";1
"411500 MARILENA";5
"411520 MARINGA";2208
"411540 MARMELEIRO";4
"411560 MATELANDIA";17
"411570 MATINHOS";2
"411575 MAUA DA SERRA";3
"411580 MEDIANEIRA";44
"411590 MIRADOR";1
"411605 MISSAL";8
"411640 NOSSA SENHORA DAS GRACAS";2
"411650 NOVA ALIANCA DO IVAI";2
"411670 NOVA AURORA";6
"411690 NOVA ESPERANCA";4
"411705 NOVA LARANJEIRAS";1
"411710 NOVA LONDRINA";6
"411725 NOVA PRATA DO IGUACU";1
"411729 NOVO ITACOLOMI";1
"411730 ORTIGUEIRA";1
"411745 OURO VERDE DO OESTE";1
"411750 PAICANDU";6
"411760 PALMAS";77
"411770 PALMEIRA";7
"411790 PALOTINA";30
"411800 PARAISO DO NORTE";84
"411810 PARANACITY";2
"411820 PARANAGUA";362
"411830 PARANAPOEMA";1
"411840 PARANAVAI";133
"411850 PATO BRANCO";247
"411900 PEROLA D'OESTE";2
"411915 PINHAIS";25
"411920 PINHALAO";11
"411930 PINHAO";2
"411940 PIRAI DO SUL";2
"411950 PIRAQUARA";2
"411960 PITANGA";14
"411970 PLANALTINA DO PARANA";1
"411980 PLANALTO";1
"411990 PONTA GROSSA";1059
"412000 PORECATU";1
"412010 PORTO AMAZONAS";1
"412020 PORTO RICO";1
"412035 PRANCHITA";6
"412050 PRIMEIRO DE MAIO";2
"412060 PRUDENTOPOLIS";23
"412065 QUARTO CENTENARIO";1
"412070 QUATIGUA";3
"412080 QUATRO BARRAS";1
"412090 QUEDAS DO IGUACU";16
"412100 QUERENCIA DO NORTE";3
"412140 REALEZA";3
"412150 REBOUCAS";4
"412170 RESERVA";1
"412180 RIBEIRAO CLARO";6
"412190 RIBEIRAO DO PINHAL";2
"412200 RIO AZUL";6
"412215 RIO BONITO DO IGUACU";1
"412220 RIO BRANCO DO SUL";1
"412230 RIO NEGRO";8
"412240 ROLANDIA";35
"412250 RONCADOR";1
"412260 RONDON";7
"412270 SABAUDIA";7
"412290 SALTO DO ITARARE";2
"412330 SANTA CRUZ DE MONTE CASTELO";16
"412350 SANTA HELENA";6
"412360 SANTA INES";1
"412370 SANTA ISABEL DO IVAI";4
"412380 SANTA IZABEL DO OESTE";9
"412390 SANTA MARIANA";4
"412405 SANTA TEREZINHA DE ITAIPU";11
"412410 SANTO ANTONIO DA PLATINA";89
"412440 SANTO ANTONIO DO SUDOESTE";9
"412460 SAO CARLOS DO IVAI";3
"412480 SAO JOAO";1
"412490 SAO JOAO DO CAIUA";1
"412510 SAO JOAO DO TRIUNFO";7
"412520 SAO JORGE D'OESTE";2
"412535 SAO JORGE DO PATROCINIO";1
"412540 SAO JOSE DA BOA VISTA";2
"412550 SAO JOSE DOS PINHAIS";274
"412560 SAO MATEUS DO SUL";10
"412570 SAO MIGUEL DO IGUACU";5
"412580 SAO PEDRO DO IVAI";1
"412600 SAO SEBASTIAO DA AMOREIRA";2
"412620 SAPOPEMA";2
"412625 SARANDI";249
"412630 SENGES";8
"412650 SERTANOPOLIS";3
"412660 SIQUEIRA CAMPOS";9
"412667 TAMARANA";3
"412670 TAMBOARA";2
"412680 TAPEJARA";2
"412700 TEIXEIRA SOARES";1
"412710 TELEMACO BORBA";46
"412720 TERRA BOA";16
"412730 TERRA RICA";5
"412740 TERRA ROXA";5
"412750 TIBAGI";3
"412760 TIJUCAS DO SUL";6
"412770 TOLEDO";758
"412780 TOMAZINA";6
"412795 TUPASSI";1
"412796 TURVO";1
"412800 UBIRATA";73
"412810 UMUARAMA";280
"412820 UNIAO DA VITORIA";51
"412840 URAI";1
"412850 WENCESLAU BRAZ";1
"412853 VENTANIA";1
"412855 VERA CRUZ DO OESTE";3
"412860 VERE";1
"420010 ABELARDO LUZ";9
"420050 AGUAS DE CHAPECO";1
"420100 ANITA GARIBALDI";1
"420125 APIUNA";1
"420140 ARARANGUA";198
"420200 BALNEARIO CAMBORIU";657
"420220 BENEDITO NOVO";3
"420240 BLUMENAU";1540
"420260 BOM RETIRO";1
"420280 BRACO DO NORTE";14
"420290 BRUSQUE";66
"420300 CACADOR";52
"420310 CAIBI";3
"420330 CAMPO ALEGRE";2
"420350 CAMPO ERE";1
"420360 CAMPOS NOVOS";3
"420380 CANOINHAS";15
"420390 CAPINZAL";10
"420420 CHAPECO";473
"420430 CONCORDIA";135
"420440 CORONEL FREITAS";2
"420455 CORREIA PINTO";1
"420460 CRICIUMA";1704
"420470 CUNHA PORA";1
"420480 CURITIBANOS";14
"420500 DIONISIO CERQUEIRA";2
"420510 DONA EMMA";1
"420530 FAXINAL DOS GUEDES";5
"420540 FLORIANOPOLIS";1780
"420550 FRAIBURGO";108
"420570 GAROPABA";2
"420590 GASPAR";30
"420630 GUABIRUBA";1
"420650 GUARAMIRIM";45
"420665 GUATAMBU";1
"420690 IBIRAMA";122
"420700 ICARA";13
"420730 IMBITUBA";25
"420740 IMBUIA";1
"420750 INDAIAL";28
"420785 IRATI";1
"420790 IRINEOPOLIS";1
"420810 ITAIOPOLIS";1
"420820 ITAJAI";1177
"420830 ITAPEMA";3
"420840 ITAPIRANGA";11
"420850 ITUPORANGA";56
"420870 JACINTO MACHADO";6
"420890 JARAGUA DO SUL";446
"420900 JOACABA";151
"420910 JOINVILLE";2706
"420930 LAGES";224
"420940 LAGUNA";13
"420960 LAURO MULLER";2
"420990 LONTRAS";2
"421010 MAFRA";61
"421050 MARAVILHA";8
"421080 MELEIRO";2
"421105 MONTE CARLO";2
"421110 MONTE CASTELO";1
"421130 NAVEGANTES";5
"421140 NOVA ERECHIM";1
"421165 NOVO HORIZONTE";1
"421170 ORLEANS";41
"421175 OTACILIO COSTA";6
"421180 OURO";3
"421190 PALHOCA";3
"421200 PALMA SOLA";3
"421210 PALMITOS";2
"421220 PAPANDUVA";1
"421225 PASSO DE TORRES";3
"421227 PASSOS MAIA";3
"421260 PERITIBA";1
"421270 PETROLANDIA";1
"421280 BALNEARIO PICARRAS";1
"421290 PINHALZINHO";10
"421310 PIRATUBA";1
"421320 POMERODE";10
"421340 PONTE SERRADA";3
"421350 PORTO BELO";1
"421360 PORTO UNIAO";55
"421370 POUSO REDONDO";1
"421400 PRESIDENTE GETULIO";7
"421410 PRESIDENTE NEREU";2
"421420 QUILOMBO";1
"421430 RANCHO QUEIMADO";1
"421480 RIO DO SUL";209
"421500 RIO NEGRINHO";7
"421530 SALETE";1
"421540 SALTO VELOSO";3
"421550 SANTA CECILIA";1
"421570 SANTO AMARO DA IMPERATRIZ";1
"421575 SAO BERNARDINO";1
"421580 SAO BENTO DO SUL";96
"421600 SAO CARLOS";1
"421620 SAO FRANCISCO DO SUL";5
"421625 SAO JOAO DO OESTE";2
"421650 SAO JOAQUIM";6
"421660 SAO JOSE";463
"421670 SAO JOSE DO CEDRO";3
"421690 SAO LOURENCO DO OESTE";7
"421720 SAO MIGUEL DO OESTE";66
"421730 SAUDADES";1
"421750 SEARA";2
"421770 SOMBRIO";1
"421780 TAIO";7
"421800 TIJUCAS";2
"421820 TIMBO";46
"421830 TRES BARRAS";6
"421860 TROMBUDO CENTRAL";5
"421870 TUBARAO";376
"421880 TURVO";5
"421910 VARGEAO";2
"421930 VIDEIRA";86
"421950 XANXERE";32
"421970 XAXIM";5
"430010 AGUDO";2
"430040 ALEGRETE";24
"430050 ALPESTRE";2
"430060 ALVORADA";54
"430064 AMETISTA DO SUL";2
"430070 ANTA GORDA";1
"430080 ANTONIO PRADO";11
"430085 ARAMBARE";1
"430100 ARROIO DO MEIO";2
"430110 ARROIO DOS RATOS";3
"430120 ARROIO DO TIGRE";5
"430130 ARROIO GRANDE";1
"430140 ARVOREZINHA";2
"430160 BAGE";56
"430175 BARAO DO TRIUNFO";1
"430180 BARRACAO";1
"430190 BARRA DO RIBEIRO";1
"430200 BARROS CASSAL";1
"430210 BENTO GONCALVES";221
"430220 BOA VISTA DO BURICA";2
"430235 BOM PRINCIPIO";1
"430240 BOM RETIRO DO SUL";4
"430280 CACAPAVA DO SUL";6
"430300 CACHOEIRA DO SUL";77
"430310 CACHOEIRINHA";151
"430350 CAMAQUA";24
"430360 CAMBARA DO SUL";2
"430370 CAMPINA DAS MISSOES";5
"430390 CAMPO BOM";41
"430420 CANDELARIA";9
"430440 CANELA";14
"430450 CANGUCU";6
"430460 CANOAS";618
"430463 CAPAO DA CANOA";11
"430470 CARAZINHO";25
"430480 CARLOS BARBOSA";22
"430490 CASCA";1
"430510 CAXIAS DO SUL";1815
"430517 CERRO GRANDE DO SUL";1
"430520 CERRO LARGO";1
"430530 CHAPADA";1
"430535 CHARQUEADAS";6
"430537 CHARRUA";2
"430600 CRISSIUMAL";1
"430605 CRISTAL";1
"430610 CRUZ ALTA";55
"430620 CRUZEIRO DO SUL";1
"430630 DAVID CANABARRO";1
"430635 DEZESSEIS DE NOVEMBRO";1
"430640 DOIS IRMAOS";4
"430650 DOM FELICIANO";2
"430660 DOM PEDRITO";2
"430675 DOUTOR RICARDO";1
"430676 ELDORADO DO SUL";1
"430680 ENCANTADO";13
"430700 ERECHIM";130
"430730 ERVAL SECO";1
"430750 ESPUMOSO";3
"430755 ESTACAO";1
"430760 ESTANCIA VELHA";15
"430770 ESTEIO";49
"430780 ESTRELA";52
"430790 FARROUPILHA";77
"430810 FELIZ";2
"430820 FLORES DA CUNHA";2
"430830 FONTOURA XAVIER";1
"430850 FREDERICO WESTPHALEN";72
"430860 GARIBALDI";26
"430890 GETULIO VARGAS";3
"430900 GIRUA";2
"430905 GLORINHA";3
"430910 GRAMADO";34
"430920 GRAVATAI";228
"430930 GUAIBA";4
"430940 GUAPORE";27
"430960 HORIZONTINA";5
"431000 IBIRUBA";37
"431010 IGREJINHA";9
"431020 IJUI";138
"431030 ILOPOLIS";2
"431043 IPE";2
"431050 IRAI";5
"431060 ITAQUI";5
"431065 ITATI";1
"431080 IVOTI";12
"431100 JAGUARAO";3
"431110 JAGUARI";20
"431120 JULIO DE CASTILHOS";1
"431130 LAGOA VERMELHA";4
"431140 LAJEADO";137
"431162 LINDOLFO COLLOR";2
"431164 LINHA NOVA";1
"431180 MARAU";4
"431210 MATA";1
"431215 MATO LEITAO";1
"431225 MINAS DO LEAO";1
"431240 MONTENEGRO";83
"431247 MORRO REUTER";1
"431265 NAO-ME-TOQUE";3
"431270 NONOAI";12
"431290 NOVA BASSANO";1
"431310 NOVA PALMA";3
"431320 NOVA PETROPOLIS";1
"431330 NOVA PRATA";7
"431340 NOVO HAMBURGO";1283
"431349 NOVO BARREIRO";1
"431350 OSORIO";22
"431370 PALMEIRA DAS MISSOES";12
"431390 PANAMBI";3
"431403 PARECI NOVO";1
"431405 PAROBE";13
"431406 PASSA SETE";2
"431410 PASSO FUNDO";3230
"431440 PELOTAS";445
"431450 PINHEIRO MACHADO";1
"431475 POCO DAS ANTAS";1
"431480 PORTAO";3
"431490 PORTO ALEGRE";8526
"431507 PORTO VERA CRUZ";2
"431510 PORTO XAVIER";3
"431515 PROGRESSO";2
"431530 QUARAI";4
"431535 QUINZE DE NOVEMBRO";2
"431540 REDENTORA";1
"431560 RIO GRANDE";71
"431570 RIO PARDO";7
"431580 ROCA SALES";1
"431600 ROLANTE";4
"431610 RONDA ALTA";1
"431640 ROSARIO DO SUL";5
"431645 SALTO DO JACUI";1
"431660 SANANDUVA";3
"431670 SANTA BARBARA DO SUL";2
"431675 SANTA CLARA DO SUL";1
"431680 SANTA CRUZ DO SUL";357
"431690 SANTA MARIA";858
"431710 SANT'ANA DO LIVRAMENTO";34
"431720 SANTA ROSA";112
"431730 SANTA VITORIA DO PALMAR";9
"431740 SANTIAGO";104
"431750 SANTO ANGELO";49
"431760 SANTO ANTONIO DA PATRULHA";7
"431780 SANTO AUGUSTO";8
"431790 SANTO CRISTO";48
"431800 SAO BORJA";22
"431820 SAO FRANCISCO DE PAULA";1
"431830 SAO GABRIEL";16
"431840 SAO JERONIMO";7
"431843 SAO JOAO DO POLESINE";1
"431860 SAO JOSE DO OURO";1
"431870 SAO LEOPOLDO";180
"431880 SAO LOURENCO DO SUL";22
"431890 SAO LUIZ GONZAGA";20
"431900 SAO MARCOS";19
"431950 SAO SEBASTIAO DO CAI";2
"431990 SAPIRANGA";22
"432000 SAPUCAIA DO SUL";120
"432010 SARANDI";5
"432020 SEBERI";4
"432026 SEGREDO";1
"432030 SELBACH";7
"432040 SERAFINA CORREA";11
"432050 SERTAO";1
"432055 SERTAO SANTANA";3
"432070 SOBRADINHO";3
"432080 SOLEDADE";240
"432085 TABAI";1
"432090 TAPEJARA";10
"432100 TAPERA";16
"432110 TAPES";1
"432120 TAQUARA";7
"432130 TAQUARI";10
"432140 TENENTE PORTELA";18
"432145 TEUTONIA";22
"432146 TIO HUGO";1
"432150 TORRES";32
"432160 TRAMANDAI";38
"432170 TRES COROAS";9
"432180 TRES DE MAIO";32
"432190 TRES PASSOS";18
"432200 TRIUNFO";13
"432210 TUCUNDUVA";1
"432220 TUPANCIRETA";9
"432225 TUPANDI";1
"432230 TUPARENDI";1
"432235 UNIAO DA SERRA";1
"432240 URUGUAIANA";126
"432250 VACARIA";42
"432260 VENANCIO AIRES";25
"432270 VERA CRUZ";3
"432280 VERANOPOLIS";24
"432300 VIAMAO";81
"432320 VICTOR GRAEFF";1
"432370 VISTA GAUCHA";1
"432380 XANGRI-LA";3
"500025 ALCINOPOLIS";1
"500060 AMAMBAI";12
"500085 ANGELICA";1
"500100 APARECIDA DO TABOADO";2
"500110 AQUIDAUANA";13
"500150 BANDEIRANTES";1
"500190 BATAGUASSU";1
"500210 BELA VISTA";4
"500215 BODOQUENA";1
"500220 BONITO";4
"500230 BRASILANDIA";3
"500240 CAARAPO";14
"500260 CAMAPUA";2
"500270 CAMPO GRANDE";1987
"500290 CASSILANDIA";4
"500295 CHAPADAO DO SUL";6
"500320 CORUMBA";21
"500325 COSTA RICA";7
"500330 COXIM";4
"500370 DOURADOS";478
"500375 ELDORADO";5
"500430 IGUATEMI";7
"500450 ITAPORA";3
"500460 ITAQUIRAI";2
"500470 IVINHEMA";19
"500480 JAPORA";1
"500515 JUTI";1
"500540 MARACAJU";5
"500560 MIRANDA";2
"500570 NAVIRAI";27
"500580 NIOAQUE";2
"500600 NOVA ALVORADA DO SUL";2
"500620 NOVA ANDRADINA";2
"500630 PARANAIBA";12
"500635 PARANHOS";5
"500660 PONTA PORA";14
"500710 RIBAS DO RIO PARDO";1
"500720 RIO BRILHANTE";9
"500740 RIO VERDE DE MATO GROSSO";6
"500769 SAO GABRIEL DO OESTE";5
"500790 SIDROLANDIA";1
"500793 SONORA";3
"500800 TERENOS";2
"500830 TRES LAGOAS";65
"500840 VICENTINA";2
"510020 AGUA BOA";12
"510025 ALTA FLORESTA";50
"510030 ALTO ARAGUAIA";3
"510050 ALTO PARAGUAI";1
"510080 APIACAS";1
"510100 ARAGUAIANA";1
"510125 ARAPUTANGA";2
"510140 ARIPUANA";1
"510170 BARRA DO BUGRES";17
"510180 BARRA DO GARCAS";91
"510190 BRASNORTE";1
"510250 CACERES";339
"510260 CAMPINAPOLIS";1
"510263 CAMPO NOVO DO PARECIS";8
"510267 CAMPO VERDE";19
"510268 CAMPOS DE JULIO";2
"510270 CANARANA";7
"510279 CARLINDA";2
"510300 CHAPADA DOS GUIMARAES";1
"510305 CLAUDIA";1
"510320 COLIDER";6
"510330 COMODORO";1
"510335 CONFRESA";1
"510336 CONQUISTA D'OESTE";2
"510337 COTRIGUACU";1
"510340 CUIABA";1156
"510350 DIAMANTINO";4
"510370 FELIZ NATAL";1
"510410 GUARANTA DO NORTE";29
"510420 GUIRATINGA";2
"510455 ITAUBA";1
"510460 ITIQUIRA";2
"510480 JACIARA";21
"510510 JUARA";12
"510515 JUINA";22
"510520 JUSCIMEIRA";1
"510525 LUCAS DO RIO VERDE";12
"510550 VILA BELA DA SANTISSIMA TRINDADE";1
"510558 MARCELANDIA";3
"510560 MATUPA";1
"510562 MIRASSOL D'OESTE";2
"510590 NOBRES";3
"510622 NOVA MUTUM";19
"510624 NOVA UBIRATA";1
"510625 NOVA XAVANTINA";7
"510629 PARANAITA";7
"510630 PARANATINGA";1
"510637 PEDRA PRETA";2
"510642 PEIXOTO DE AZEVEDO";4
"510650 POCONE";1
"510670 PONTE BRANCA";1
"510675 PONTES E LACERDA";23
"510677 PORTO ALEGRE DO NORTE";1
"510682 PORTO ESPERIDIAO";1
"510700 POXOREO";8
"510704 PRIMAVERA DO LESTE";28
"510706 QUERENCIA";1
"510710 SAO JOSE DOS QUATRO MARCOS";2
"510718 RIBEIRAO CASCALHEIRA";1
"510730 SAO JOSE DO RIO CLARO";3
"510740 SAO PEDRO DA CIPA";1
"510760 RONDONOPOLIS";493
"510770 ROSARIO OESTE";1
"510777 SANTA TEREZINHA";1
"510780 SANTO ANTONIO DO LEVERGER";3
"510787 SAPEZAL";16
"510790 SINOP";315
"510792 SORRISO";159
"510795 TANGARA DA SERRA";29
"510800 TAPURAH";1
"510805 TERRA NOVA DO NORTE";2
"510840 VARZEA GRANDE";209
"510860 VILA RICA";1
"510895 NOVA MONTE VERDE";4
"520005 ABADIA DE GOIAS";3
"520013 ACREUNA";2
"520020 AGUA LIMPA";1
"520025 AGUAS LINDAS DE GOIAS";8
"520030 ALEXANIA";1
"520060 ALTO PARAISO DE GOIAS";1
"520085 AMERICANO DO BRASIL";1
"520110 ANAPOLIS";252
"520130 ANICUNS";2
"520140 APARECIDA DE GOIANIA";78
"520170 ARAGARCAS";1
"520320 BARRO ALTO";1
"520330 BELA VISTA DE GOIAS";1
"520350 BOM JESUS DE GOIAS";1
"520400 CABECEIRAS";1
"520420 CACHOEIRA DE GOIAS";1
"520430 CACU";5
"520450 CALDAS NOVAS";18
"520455 CALDAZINHA";2
"520470 CAMPINORTE";2
"520480 CAMPO ALEGRE DE GOIAS";1
"520490 CAMPOS BELOS";6
"520510 CATALAO";71
"520540 CERES";41
"520551 COCALZINHO DE GOIAS";2
"520552 COLINAS DO SUL";1
"520620 CRISTALINA";11
"520725 DOVERLANDIA";1
"520735 EDEALINA";1
"520740 EDEIA";1
"520750 ESTRELA DO NORTE";1
"520790 FLORES DE GOIAS";1
"520800 FORMOSA";11
"520860 GOIANESIA";7
"520870 GOIANIA";4042
"520880 GOIANIRA";1
"520910 GOIATUBA";5
"520960 HEITORAI";1
"520980 HIDROLINA";1
"520990 IACIARA";1
"520993 INACIOLANDIA";2
"521000 INHUMAS";2
"521010 IPAMERI";1
"521020 IPORA";6
"521040 ITABERAI";4
"521080 ITAJA";2
"521090 ITAPACI";1
"521100 ITAPIRAPUA";1
"521150 ITUMBIARA";34
"521190 JATAI";50
"521205 JESUPOLIS";1
"521210 JOVIANIA";2
"521220 JUSSARA";4
"521225 LAGOA SANTA";1
"521250 LUZIANIA";14
"521260 MAIRIPOTABA";1
"521308 MINACU";6
"521310 MINEIROS";27
"521370 MONTES CLAROS DE GOIAS";1
"521375 MONTIVIDIU";1
"521377 MONTIVIDIU DO NORTE";1
"521380 MORRINHOS";1
"521460 NIQUELANDIA";1
"521500 NOVA VENEZA";1
"521523 NOVO GAMA";3
"521525 NOVO PLANALTO";1
"521630 PARANAIGUARA";3
"521640 PARAUNA";1
"521680 PETROLINA DE GOIAS";1
"521730 PIRENOPOLIS";3
"521740 PIRES DO RIO";1
"521760 PLANALTINA";7
"521800 PORANGATU";4
"521830 POSSE";1
"521850 QUIRINOPOLIS";5
"521860 RIALMA";2
"521870 RIANAPOLIS";3
"521880 RIO VERDE";177
"521890 RUBIATABA";1
"521900 SANCLERLANDIA";1
"521930 SANTA HELENA DE GOIAS";35
"521940 SANTA RITA DO ARAGUAIA";2
"521950 SANTA ROSA DE GOIAS";1
"521970 SANTA TEREZINHA DE GOIAS";2
"521971 SANTO ANTONIO DA BARRA";1
"521975 SANTO ANTONIO DO DESCOBERTO";1
"521980 SAO DOMINGOS";1
"522010 SAO LUIS DE MONTES BELOS";1
"522020 SAO MIGUEL DO ARAGUAIA";5
"522028 SAO PATRICIO";1
"522040 SAO SIMAO";3
"522045 SENADOR CANEDO";2
"522119 TEREZOPOLIS DE GOIAS";1
"522140 TRINDADE";1
"522160 URUACU";7
"522170 URUANA";1
"522185 VALPARAISO DE GOIAS";4
"522190 VARJAO";2
"530010 BRASILIA";2862
"Total";302890
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
   em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
   e em Seleções
  Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha UF de residência,
   na Coluna Ano de 1ºs sintomas, em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Para cálculo da incidência utilize locais de residência.
  Dados de 2007 e 2008 atualizados em 02/07/2012.
  Dados de 2009 atualizados em 06/09/2020.
  Dados de 2010 atualizados em 04/11/2013.
  Dados de 2011 atualizados em 29/08/2014.
  Dados de 2012 atualizados em 01/06/2015.
  Dados de 2013 atualizados em 18/12/2017.
  Dados de 2014 atualizados em 17/12/2018.
  Dados de 2015 atualizados em 26/11/2018.
  Dados de 2016 atualizados em 16/09/2019.
  Dados de 2017 atualizados em 24/04/2020.
  Dados de 2018 atualizados em 22/08/2022.
  Dados de 2019 atualizados em 16/06/2023, dados sujeitos à revisão.
  Dados de 2020 atualizados em 25/01/2024, dados sujeitos à revisão.
  Dados de 2021 atualizados em 04/01/2024, dados sujeitos à revisão.
  Dados de 2022 atualizados em 04/03/2024, dados sujeitos à revisão.
  Dados de 2023 atualizados em 17/04/2024, dados sujeitos à revisão.
  Dados a partir de 2020 do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do Sistema de Informação e-SUS VS,
    em uso pelo estado desde janeiro de 2020.
  *Dados disponibilizados no TABNET em maio de 2024.
 
